time,close,contrast,sellprice,buyprice,volume,cum_vol,cum_vol_price,open,high,low,contrast_sig,contrast_vol,contrast_vol_price,tr_cost,mkt_cap,mkt_type,KO,change_ratio,contrast_vol_ratio,vol_cycle,tr_str
13:02:58,2821000,-17000,2821000,2820000,3,80462,227452,2846000,2846000,2808000,5,-89942,-2.54947E+11,9339,3641869,2,0,-0.6,-47.22,0.06,74.67
13:03:04,2820000,-18000,2821000,2820000,-1,80463,227455,2846000,2846000,2808000,5,-89941,-2.54944E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.67
13:03:08,2820000,-18000,2821000,2820000,-1,80464,227458,2846000,2846000,2808000,5,-89940,-2.54941E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.66
13:03:11,2821000,-17000,2821000,2820000,1,80465,227461,2846000,2846000,2808000,5,-89939,-2.54938E+11,9339,3641869,2,0,-0.6,-47.22,0.06,74.67
13:03:11,2820000,-18000,2821000,2820000,-2,80467,227467,2846000,2846000,2808000,5,-89937,-2.54932E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.66
13:03:12,2820000,-18000,2821000,2820000,-1,80468,227469,2846000,2846000,2808000,5,-89936,-2.5493E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.66
13:03:13,2820000,-18000,2820000,2819000,-12,80480,227503,2846000,2846000,2808000,5,-89924,-2.54896E+11,9336,3640578,2,0,-0.63,-47.23,0.06,74.64
13:03:15,2820000,-18000,2820000,2819000,10,80490,227531,2846000,2846000,2808000,5,-89914,-2.54868E+11,9336,3640578,2,0,-0.63,-47.23,0.06,74.66
13:03:15,2820000,-18000,2821000,2819000,20,80510,227588,2846000,2846000,2808000,5,-89894,-2.54811E+11,9336,3640578,2,0,-0.63,-47.25,0.06,74.71
13:03:15,2820000,-18000,2821000,2820000,1,80511,227591,2846000,2846000,2808000,5,-89893,-2.54808E+11,9336,3640578,2,0,-0.63,-47.25,0.06,74.72
13:03:21,2820000,-18000,2821000,2820000,-3,80514,227599,2846000,2846000,2808000,5,-89890,-2.548E+11,9336,3640578,2,0,-0.63,-47.25,0.06,74.71
13:03:23,2820000,-18000,2821000,2820000,-4,80518,227610,2846000,2846000,2808000,5,-89886,-2.54789E+11,9336,3640578,2,0,-0.63,-47.25,0.06,74.7
13:03:29,2820000,-18000,2821000,2820000,-5,80523,227624,2846000,2846000,2808000,5,-89881,-2.54775E+11,9336,3640578,2,0,-0.63,-47.25,0.06,74.69
13:03:32,2820000,-18000,2821000,2820000,-4,80527,227636,2846000,2846000,2808000,5,-89877,-2.54763E+11,9336,3640578,2,0,-0.63,-47.26,0.06,74.69
13:03:32,2820000,-18000,2821000,2820000,-4,80531,227647,2846000,2846000,2808000,5,-89873,-2.54752E+11,9336,3640578,2,0,-0.63,-47.26,0.06,74.68
13:03:33,2820000,-18000,2821000,2820000,-1,80532,227650,2846000,2846000,2808000,5,-89872,-2.54749E+11,9336,3640578,2,0,-0.63,-47.26,0.06,74.68
13:03:34,2821000,-17000,2821000,2820000,12,80544,227684,2846000,2846000,2808000,5,-89860,-2.54715E+11,9339,3641869,2,0,-0.6,-47.27,0.06,74.71
13:03:39,2820000,-18000,2821000,2820000,-1,80545,227687,2846000,2846000,2808000,5,-89859,-2.54713E+11,9336,3640578,2,0,-0.63,-47.27,0.06,74.7
13:03:49,2820000,-18000,2821000,2820000,-1,80546,227689,2846000,2846000,2808000,5,-89858,-2.5471E+11,9336,3640578,2,0,-0.63,-47.27,0.06,74.7
13:03:51,2820000,-18000,2821000,2820000,-1,80547,227692,2846000,2846000,2808000,5,-89857,-2.54707E+11,9336,3640578,2,0,-0.63,-47.27,0.06,74.7
